Date,Open,High,Low,Close,Volume
"Monday, May 23, 1994","1,566.58","1,566.58","1,566.58","1,566.58",0
"Friday, May 20, 1994","1,573.88","1,573.88","1,573.88","1,573.88",0
"Thursday, May 19, 1994","1,571.99","1,571.99","1,571.99","1,571.99",0
"Wednesday, May 18, 1994","1,569.61","1,569.61","1,569.61","1,569.61",0
"Tuesday, May 17, 1994","1,571.48","1,571.48","1,571.48","1,571.48",0
"Monday, May 16, 1994","1,568.74","1,568.74","1,568.74","1,568.74",0
"Friday, May 13, 1994","1,571.63","1,571.63","1,571.63","1,571.63",0
"Thursday, May 12, 1994","1,580.45","1,580.45","1,580.45","1,580.45",0
"Wednesday, May 11, 1994","1,578.05","1,578.05","1,578.05","1,578.05",0
"Tuesday, May 10, 1994","1,581.23","1,581.23","1,581.23","1,581.23",0
"Monday, May 09, 1994","1,566.43","1,566.43","1,566.43","1,566.43",0
"Friday, May 06, 1994","1,572.45","1,572.45","1,572.45","1,572.45",0
"Thursday, May 05, 1994","1,572.45","1,572.45","1,572.45","1,572.45",0
"Wednesday, May 04, 1994","1,558.59","1,558.59","1,558.59","1,558.59",0
"Tuesday, May 03, 1994","1,570.95","1,570.95","1,570.95","1,570.95",0
"Friday, April 29, 1994","1,580.44","1,580.44","1,580.44","1,580.44",0
"Thursday, April 28, 1994","1,583.51","1,583.51","1,583.51","1,583.51",0
"Wednesday, April 27, 1994","1,590.23","1,590.23","1,590.23","1,590.23",0
"Tuesday, April 26, 1994","1,579.75","1,579.75","1,579.75","1,579.75",0
"Monday, April 25, 1994","1,571.74","1,571.74","1,571.74","1,571.74",0
"Friday, April 22, 1994","1,583.61","1,583.61","1,583.61","1,583.61",0
"Thursday, April 21, 1994","1,571.02","1,571.02","1,571.02","1,571.02",0
"Wednesday, April 20, 1994","1,569.95","1,569.95","1,569.95","1,569.95",0
"Tuesday, April 19, 1994","1,582.94","1,582.94","1,582.94","1,582.94",0
"Monday, April 18, 1994","1,587.45","1,587.45","1,587.45","1,587.45",0
"Friday, April 15, 1994","1,599.16","1,599.16","1,599.16","1,599.16",0
"Thursday, April 14, 1994","1,582.70","1,582.70","1,582.70","1,582.70",0
"Wednesday, April 13, 1994","1,588.59","1,588.59","1,588.59","1,588.59",0
"Tuesday, April 12, 1994","1,593.95","1,593.95","1,593.95","1,593.95",0
"Monday, April 11, 1994","1,587.25","1,587.25","1,587.25","1,587.25",0
"Friday, April 08, 1994","1,574.62","1,574.62","1,574.62","1,574.62",0
"Thursday, April 07, 1994","1,578.41","1,578.41","1,578.41","1,578.41",0
"Wednesday, April 06, 1994","1,580.52","1,580.52","1,580.52","1,580.52",0
"Tuesday, April 05, 1994","1,573.23","1,573.23","1,573.23","1,573.23",0
"Thursday, March 31, 1994","1,561.97","1,561.97","1,561.97","1,561.97",0
"Wednesday, March 30, 1994","1,566.15","1,566.15","1,566.15","1,566.15",0
"Tuesday, March 29, 1994","1,579.99","1,579.99","1,579.99","1,579.99",0
"Monday, March 28, 1994","1,582.00","1,582.00","1,582.00","1,582.00",0
"Friday, March 25, 1994","1,581.24","1,581.24","1,581.24","1,581.24",0
"Thursday, March 24, 1994","1,581.44","1,581.44","1,581.44","1,581.44",0
"Wednesday, March 23, 1994","1,597.20","1,597.20","1,597.20","1,597.20",0
"Tuesday, March 22, 1994","1,617.05","1,617.05","1,617.05","1,617.05",0
"Monday, March 21, 1994","1,616.26","1,616.26","1,616.26","1,616.26",0
"Friday, March 18, 1994","1,624.88","1,624.88","1,624.88","1,624.88",0
"Thursday, March 17, 1994","1,640.76","1,640.76","1,640.76","1,640.76",0
"Wednesday, March 16, 1994","1,636.52","1,636.52","1,636.52","1,636.52",0
"Tuesday, March 15, 1994","1,646.57","1,646.57","1,646.57","1,646.57",0
"Monday, March 14, 1994","1,632.78","1,632.78","1,632.78","1,632.78",0
"Friday, March 11, 1994","1,615.12","1,615.12","1,615.12","1,615.12",0
"Thursday, March 10, 1994","1,635.49","1,635.49","1,635.49","1,635.49",0
"Wednesday, March 09, 1994","1,640.68","1,640.68","1,640.68","1,640.68",0
"Tuesday, March 08, 1994","1,648.20","1,648.20","1,648.20","1,648.20",0
"Monday, March 07, 1994","1,664.55","1,664.55","1,664.55","1,664.55",0
"Friday, March 04, 1994","1,653.28","1,653.28","1,653.28","1,653.28",0
"Thursday, March 03, 1994","1,639.98","1,639.98","1,639.98","1,639.98",0
"Wednesday, March 02, 1994","1,640.13","1,640.13","1,640.13","1,640.13",0
"Tuesday, March 01, 1994","1,653.13","1,653.13","1,653.13","1,653.13",0
"Monday, February 28, 1994","1,675.49","1,675.49","1,675.49","1,675.49",0
"Friday, February 25, 1994","1,654.67","1,654.67","1,654.67","1,654.67",0
"Thursday, February 24, 1994","1,650.46","1,650.46","1,650.46","1,650.46",0
"Wednesday, February 23, 1994","1,682.93","1,682.93","1,682.93","1,682.93",0
"Tuesday, February 22, 1994","1,679.41","1,679.41","1,679.41","1,679.41",0
"Monday, February 21, 1994","1,686.96","1,686.96","1,686.96","1,686.96",0
"Friday, February 18, 1994","1,703.02","1,703.02","1,703.02","1,703.02",0
"Thursday, February 17, 1994","1,721.09","1,721.09","1,721.09","1,721.09",0
"Wednesday, February 16, 1994","1,717.78","1,717.78","1,717.78","1,717.78",0
"Tuesday, February 15, 1994","1,706.51","1,706.51","1,706.51","1,706.51",0
"Monday, February 14, 1994","1,693.96","1,693.96","1,693.96","1,693.96",0
"Friday, February 11, 1994","1,701.53","1,701.53","1,701.53","1,701.53",0
"Thursday, February 10, 1994","1,715.97","1,715.97","1,715.97","1,715.97",0
"Wednesday, February 09, 1994","1,726.82","1,726.82","1,726.82","1,726.82",0
"Tuesday, February 08, 1994","1,733.58","1,733.58","1,733.58","1,733.58",0
"Monday, February 07, 1994","1,719.48","1,719.48","1,719.48","1,719.48",0
"Friday, February 04, 1994","1,748.37","1,748.37","1,748.37","1,748.37",0
"Thursday, February 03, 1994","1,754.48","1,754.48","1,754.48","1,754.48",0
"Wednesday, February 02, 1994","1,764.11","1,764.11","1,764.11","1,764.11",0
"Tuesday, February 01, 1994","1,745.25","1,745.25","1,745.25","1,745.25",0
"Monday, January 31, 1994","1,745.95","1,745.95","1,745.95","1,745.95",0
"Friday, January 28, 1994","1,727.31","1,727.31","1,727.31","1,727.31",0
"Thursday, January 27, 1994","1,720.79","1,720.79","1,720.79","1,720.79",0
"Wednesday, January 26, 1994","1,723.99","1,723.99","1,723.99","1,723.99",0
"Tuesday, January 25, 1994","1,727.99","1,727.99","1,727.99","1,727.99",0
"Monday, January 24, 1994","1,742.31","1,742.31","1,742.31","1,742.31",0
"Friday, January 21, 1994","1,743.65","1,743.65","1,743.65","1,743.65",0
"Thursday, January 20, 1994","1,738.06","1,738.06","1,738.06","1,738.06",0
"Wednesday, January 19, 1994","1,743.78","1,743.78","1,743.78","1,743.78",0
"Tuesday, January 18, 1994","1,715.63","1,715.63","1,715.63","1,715.63",0
"Monday, January 17, 1994","1,697.81","1,697.81","1,697.81","1,697.81",0
"Friday, January 14, 1994","1,691.38","1,691.38","1,691.38","1,691.38",0
"Thursday, January 13, 1994","1,673.12","1,673.12","1,673.12","1,673.12",0
"Wednesday, January 12, 1994","1,675.86","1,675.86","1,675.86","1,675.86",0
"Tuesday, January 11, 1994","1,693.39","1,693.39","1,693.39","1,693.39",0
"Monday, January 10, 1994","1,703.84","1,703.84","1,703.84","1,703.84",0
"Friday, January 07, 1994","1,705.99","1,705.99","1,705.99","1,705.99",0
"Thursday, January 06, 1994","1,683.61","1,683.61","1,683.61","1,683.61",0
"Wednesday, January 05, 1994","1,671.92","1,671.92","1,671.92","1,671.92",0
"Tuesday, January 04, 1994","1,679.71","1,679.71","1,679.71","1,679.71",0
"Friday, December 31, 1993","1,682.14","1,682.14","1,682.14","1,682.14",0
